index,real,imag,magnitude
188,-0.11128,0.198832,0.227854
189,0.181837,0.206425,0.275092
190,0.303901,0.0192915,0.304512
191,0.66976,-0.199808,0.698929
192,-0.0691051,0.250828,0.260174
193,0.276836,0.0594223,0.283142
194,0.0171452,0.544503,0.544773
195,0.353382,0.317212,0.474871
196,-0.130068,0.560894,0.575778
197,-0.516449,0.234354,0.567135
198,-0.334963,0.299874,0.449582
199,-0.363468,0.480907,0.60281
200,-0.364203,0.448988,0.57813
201,-0.684307,0.31393,0.75288
202,-0.448089,0.319621,0.550401
203,-0.689389,-0.0887798,0.695082
204,-0.697997,-0.265624,0.74683
205,-0.158718,-0.704221,0.721886
206,-0.339675,-0.51136,0.613896
207,0.484864,-0.237116,0.539738
208,0.665799,-0.0201135,0.666103
209,0.712674,0.406221,0.820317
210,-0.0264847,0.435645,0.43645
211,0.0806322,0.411593,0.419417
212,-0.252123,-0.00855684,0.252269
213,0.340141,0.0216846,0.340831
214,0.190269,0.283608,0.34152
215,0.102759,0.691531,0.699124
216,-0.417905,0.582496,0.716901
217,-0.241676,0.518143,0.571733
218,-0.636224,-0.129269,0.649224
219,-0.0460945,-0.418479,0.42101
220,-0.223064,-0.513161,0.559546
221,0.015085,0.183962,0.18458
222,0.140243,-0.257488,0.293204
223,0.324317,-0.244875,0.406381
224,0.659257,-0.355938,0.749207
225,0.707246,0.181889,0.730261
226,0.406631,0.737468,0.842145
227,0.234832,0.249803,0.342852
228,0.154085,0.576133,0.596382
229,0.177834,0.623797,0.64865
230,0.0837296,0.0855934,0.119737
231,-0.254049,0.478485,0.541746
232,0.02367,0.350287,0.351085
233,-0.33499,-0.0222136,0.335726
234,0.174562,-0.306148,0.352418
235,0.412882,-0.066686,0.418233
236,0.340371,0.542016,0.640026
237,-0.0350407,0.158697,0.16252
238,0.111295,0.395331,0.410699
239,-0.0626283,-0.270829,0.277976
240,0.404245,0.04416,0.40665
241,0.201548,-0.319559,0.377809
242,0.399851,0.0194489,0.400324
243,-0.0421881,0.208917,0.213134
244,-0.442869,0.229754,0.498919
245,-0.211478,0.325472,0.388144
246,-0.316822,-0.295244,0.433065
247,-0.305191,-0.0875762,0.317507
248,-0.406429,0.00903018,0.40653
249,-0.0650545,-0.280836,0.288272
250,-0.166631,0.146238,0.221702
251,-0.373266,0.189939,0.418813
252,-0.0792044,-0.313838,0.323679
253,-0.0608664,-0.449208,0.453313
254,0.334996,-0.701709,0.777572
255,0.0167721,-0.0539231,0.0564713
256,0.456552,0.22916,0.510837
257,0.0843039,-0.142983,0.165986
258,-0.122317,0.269101,0.295596
259,-0.390458,-0.293818,0.488657
260,-0.0165513,-0.42038,0.420706
261,0.306238,0.023091,0.307108
262,0.113439,-0.347455,0.365504
263,-0.0494725,0.176568,0.183368
264,-0.374467,0.316667,0.490411
265,-0.722931,-0.00223255,0.722934
266,-0.195778,-0.553872,0.587455
267,0.279472,-0.610094,0.671058
268,0.699225,-0.216402,0.731946
269,0.205287,0.341635,0.398569
270,-0.273156,0.436492,0.514916
271,-0.242569,-0.141612,0.28088
272,-0.404377,-0.319378,0.51529
273,0.329883,-0.429589,0.541636
274,-0.0784967,-0.385766,0.393671
275,0.492483,-0.030953,0.493455
276,0.386119,-0.45327,0.595434
277,-0.113907,-0.105885,0.15552
278,-0.0233374,-0.502865,0.503406
279,-0.140352,-0.521996,0.540535
280,0.550566,-0.443982,0.707278
281,0.805451,-0.355362,0.88036
282,0.316269,0.205229,0.377021
283,0.479545,0.0819817,0.486502
284,-0.240679,0.349536,0.424383
